Service,Model,Step,Input,Output,Suggestion Chips,Data,Fulfilled Properties,Input Tokens,Output Tokens,Execution Time
conversation,gemini-1.5-flash,12,Remind me please the address,"Our South Austin office is located at 1221 W Ben White Blvd. ( @ Banister ) Suite 212B Austin, TX 78704. Is there anything else I can assist you with today?",,,,3057,87,1954
data,gemini-1.5-flash,12,Remind me please the address,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""Monday at 9:00 AM"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",,1461,126,1256
conversation,gemini-1.5-flash,1,What insurances do you accept,"We accept a variety of HMOs, PPOs, and other health plans.  To verify if we accept your specific insurance carrier, would you like to request an appointment?",,,,2348,73,1464
data,gemini-1.5-flash,1,What insurances do you accept,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,812,97,1159
conversation,gemini-1.5-flash,2,"I have Revolut, will  that work?","I understand you're asking about payment methods. We don't accept Revolut, but we do accept check, MasterCard, Visa, Discover, and various insurance plans. Would you like to request an appointment?",,,,2424,81,1116
data,gemini-1.5-flash,2,"I have Revolut, will  that work?",,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,864,72,853
conversation,gemini-1.5-flash,3,What doctor works with you? What's his education?,"Dr. Mark Robson is our highly experienced foot doctor in the Austin area.  To provide you with details about his education, would you like to request an appointment?",,,,2487,71,1082
data,gemini-1.5-flash,3,What doctor works with you? What's his education?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,925,72,804
conversation,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,"I'm sorry, but I can't help you with that question.  Our doctor is a podiatrist, specializing in foot and ankle care. Would you like to request an appointment?",,,,2741,78,992
data,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,978,72,896
conversation,gemini-1.5-flash,5,"Yes, please","Great! To get started, are you a new or an existing patient?","New,Existing",,,2779,66,827
data,gemini-1.5-flash,5,"Yes, please",,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":null}",appointment_requested,1027,107,1101
conversation,gemini-1.5-flash,6,I suppose I am new,"Great! To continue, what is your name?",,,,2527,48,807
data,gemini-1.5-flash,6,I suppose I am new,,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","appointment_requested,new_or_existing_patient",1053,85,912
conversation,gemini-1.5-flash,7,Mario Postizo,"Great! What is the best number to reach you at?

By submitting your phone number below, you understand we may send text messages to this number containing relevant information.",,,,2625,74,922
data,gemini-1.5-flash,7,Mario Postizo,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",name,1072,77,993
conversation,gemini-1.5-flash,8,5556667777,Great! What is the best email for you?,,,,2686,47,808
data,gemini-1.5-flash,8,5556667777,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone",1123,90,1062
conversation,gemini-1.5-flash,9,mario@postizo.com,"Great! Now, when would you like to schedule your appointment?  Our office hours are:

Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: Closed
Sunday: Closed

Please note that our office is closed from 12:00 PM to 1:00 PM daily for lunch.  What date and time are you thinking of?",,,,2712,192,1955
data,gemini-1.5-flash,9,mario@postizo.com,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone,email",1145,99,1068
conversation,gemini-1.5-flash,10,can it be today?,"Unfortunately, today is Tuesday, November 26th, and we're fully booked. Our office hours are:

Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: Closed
Sunday: Closed

What other day works best for you? ",,,,3151,171,1600
data,gemini-1.5-flash,10,can it be today?,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""today"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1300,96,1019
conversation,gemini-1.5-flash,11,monday at 9 is fine,"Perfect! Monday at 9 AM it is. Please note - this is only a request, not a confirmed appointment. Our patient coordinator will reach out to you as soon as possible to confirm your appointment! 🙂 If there is an emergency, please call 911. Thanks for choosing our practice! Is there anything else I can assist you with today?",,,,3005,110,1547
data,gemini-1.5-flash,11,monday at 9 is fine,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""monday at 9"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1434,99,1094
conversation,gemini-1.5-flash,12,Remind me please the address,"Our South Austin office is located at 1221 W Ben White Blvd. ( @ Banister ) Suite 212B Austin, TX 78704. Is there anything else I can assist you with today?",,,,3113,86,1044
data,gemini-1.5-flash,12,Remind me please the address,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""Monday at 9 AM"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",,1517,123,1180
conversation,gemini-1.5-flash,1,What insurances do you accept,"We accept a variety of HMOs, PPOs, and other health plans.  To verify if we accept your specific insurance carrier, would you like to request an appointment?",,,,2348,73,1522
data,gemini-1.5-flash,1,What insurances do you accept,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,812,72,900
conversation,gemini-1.5-flash,2,"I have Revolut, will  that work?","I understand you're asking about payment methods. We accept checks, MasterCard, Visa, Discover, and many insurance plans.  Revolut isn't on that list, unfortunately. Would you like to request an appointment?",,,,2424,83,1064
data,gemini-1.5-flash,2,"I have Revolut, will  that work?",,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,864,72,920
conversation,gemini-1.5-flash,3,What doctor works with you? What's his education?,"Dr. Mark Robson is our highly experienced foot doctor in the Austin area.  I don't have access to his full educational details, but you can certainly call our office at [phone number] to get that information. Would you like to request an appointment?",,,,2489,91,1310
data,gemini-1.5-flash,3,What doctor works with you? What's his education?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,927,72,911
conversation,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,"I apologize, but I'm unable to assist with questions regarding adapting eyeglasses.  That's outside my area of expertise. To get information about that, would you like to request an appointment?",,,,2763,78,1156
data,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,1000,72,861
conversation,gemini-1.5-flash,5,"Yes, please","Great! To get started, are you a new or an existing patient?","New,Existing",,,2801,66,895
data,gemini-1.5-flash,5,"Yes, please",,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":null}",appointment_requested,1049,75,902
conversation,gemini-1.5-flash,6,I suppose I am new,Great! What is your name?,,,,2549,45,778
data,gemini-1.5-flash,6,I suppose I am new,,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","appointment_requested,new_or_existing_patient",1075,85,985
conversation,gemini-1.5-flash,7,Mario Postizo,"Great! What is the best number to reach you at?

By submitting your phone number below, you understand we may send text messages to this number containing relevant information.",,,,2644,74,965
data,gemini-1.5-flash,7,Mario Postizo,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",name,1091,77,937
conversation,gemini-1.5-flash,8,5556667777,Great! What is the best email for you?,,,,2705,48,771
data,gemini-1.5-flash,8,5556667777,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","appointment_requested,name,phone,new_or_existing_patient",1142,104,1016
conversation,gemini-1.5-flash,9,mario@postizo.com,"Great! Now, when would you like to schedule your appointment?  Our office hours are:

Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: Closed
Sunday: Closed

Please note that our office closes daily from 12:00 PM to 1:00 PM for lunch.",,,,2731,182,1706
data,gemini-1.5-flash,9,mario@postizo.com,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone,email",1164,99,982
conversation,gemini-1.5-flash,10,can it be today?,"Unfortunately, today is Tuesday, November 26th, and we're fully booked. Would you like to schedule your appointment for another day?","Tomorrow,Thursday,Friday",,,3159,86,998
data,gemini-1.5-flash,10,can it be today?,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""today"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1308,129,1210
conversation,gemini-1.5-flash,11,monday at 9 is fine,"Perfect!  Please note - this is only a request, not a confirmed appointment. Our patient coordinator will reach out to you as soon as possible to confirm your appointment! 🙂 If you have an emergency, please call 911. Thanks for choosing our practice! Is there anything else I can assist you with today?",,,,2922,103,1244
data,gemini-1.5-flash,11,monday at 9 is fine,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""monday at 9"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1350,99,1076
conversation,gemini-1.5-flash,12,Remind me please the address,"Our South Austin office is located at 1221 W Ben White Blvd. ( @ Banister ) Suite 212B Austin, TX 78704. Is there anything else I can assist you with today?",,,,3022,87,1057
data,gemini-1.5-flash,12,Remind me please the address,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""Monday at 9"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",,1426,122,1120
conversation,gemini-1.5-flash,1,What insurances do you accept,"We accept a variety of HMOs, PPOs, and other health plans.  To verify if we accept your specific insurance carrier, would you like to request an appointment?",,,,2348,73,1530
data,gemini-1.5-flash,1,What insurances do you accept,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,812,72,907
conversation,gemini-1.5-flash,2,"I have Revolut, will  that work?","I understand you're asking about payment methods. We don't accept Revolut, but we do accept checks, MasterCard, Visa, Discover, and most insurance plans. Would you like to request an appointment?",,,,2424,81,1402
data,gemini-1.5-flash,2,"I have Revolut, will  that work?",,,"{""appointment_requested"":false,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,864,72,994
conversation,gemini-1.5-flash,3,What doctor works with you? What's his education?,"Dr. Mark Robson is our highly experienced foot doctor, providing excellent podiatric care in the Austin area.  I don't have access to his specific educational details, but you can find more information by calling our office at [Phone Number]. Would you like to request an appointment?",,,,2487,96,1168
data,gemini-1.5-flash,3,What doctor works with you? What's his education?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,925,72,849
conversation,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,"I apologize, but I can't assist with that question.  To discuss adapting your Raybans for myopia,  it's best to call our office at [Phone Number]. Would you like to request an appointment?",,,,2766,84,1120
data,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,1003,72,894
conversation,gemini-1.5-flash,5,"Yes, please","Great! To get started, are you a new or an existing patient?","New,Existing",,,2810,66,1005
data,gemini-1.5-flash,5,"Yes, please",,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":null}",appointment_requested,1058,107,1105
conversation,gemini-1.5-flash,6,I suppose I am new,"Great! Now, what is your name?",,,,2558,47,849
data,gemini-1.5-flash,6,I suppose I am new,,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","appointment_requested,new_or_existing_patient",1084,85,925
conversation,gemini-1.5-flash,7,Mario Postizo,"Great! What is the best number to reach you at?

By submitting your phone number below, you understand we may send text messages to this number containing relevant information.",,,,2655,74,880
data,gemini-1.5-flash,7,Mario Postizo,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",name,1102,77,882
conversation,gemini-1.5-flash,8,5556667777,"Great! Now, what is the best email for you?",,,,2716,50,833
data,gemini-1.5-flash,8,5556667777,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone",1153,90,963
conversation,gemini-1.5-flash,9,mario@postizo.com,"Great! Now, when would you like to schedule your appointment?

Our office hours are:
Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: Closed
Sunday: Closed",,,,2744,154,1540
data,gemini-1.5-flash,9,mario@postizo.com,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone,email",1177,99,1516
conversation,gemini-1.5-flash,10,can it be today?,"Yes, you can request an appointment for today. Please note that our office hours are:

Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: Closed
Sunday: Closed

When would you like to schedule your appointment today?  ",,,,3146,167,1579
data,gemini-1.5-flash,10,can it be today?,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""today"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1295,129,1225
conversation,gemini-1.5-flash,11,monday at 9 is fine,"Perfect!  Please note - this is only a request, not a confirmed appointment. Our patient coordinator will reach out to you as soon as possible to confirm your appointment! 🙂 If you have an emergency, please call 911. Thanks for choosing our practice! Is there anything else I can assist you with today?",,,,2997,103,1290
data,gemini-1.5-flash,11,monday at 9 is fine,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""monday at 9"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1425,99,1146
conversation,gemini-1.5-flash,12,Remind me please the address,"Our South Austin office is located at 1221 W Ben White Blvd. ( @ Banister ) Suite 212B Austin, TX 78704. Is there anything else I can help you with today?",,,,3097,87,1051
data,gemini-1.5-flash,12,Remind me please the address,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""monday at 9"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",,1501,96,1063
conversation,gemini-1.5-flash,1,What insurances do you accept,"We accept a variety of HMOs, PPOs, and other health plans.  To verify if we accept your specific insurance carrier, would you like to request an appointment?",,,,2348,74,1522
data,gemini-1.5-flash,1,What insurances do you accept,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,812,72,904
conversation,gemini-1.5-flash,2,"I have Revolut, will  that work?","I'm sorry, but I can't confirm whether Revolut will work as a payment method.  We accept checks, MasterCard, Visa, Discover, and various insurance plans. To confirm your payment options and verify your insurance, would you like to request an appointment?","Yes,No",,,2424,106,1239
data,gemini-1.5-flash,2,"I have Revolut, will  that work?",,,"{""appointment_requested"":false,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,864,72,916
conversation,gemini-1.5-flash,3,What doctor works with you? What's his education?,"Dr. Mark Robson is our highly experienced foot doctor, providing excellent podiatric care in the Austin area.  To provide you with more information about his education, would you like to request an appointment?","Yes,No",,,2499,92,1055
data,gemini-1.5-flash,3,What doctor works with you? What's his education?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,937,72,959
conversation,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,"I apologize, but I'm not qualified to answer questions regarding eyeglass adaptations.  For specific inquiries about Dr. Robson's services and whether he can adapt your Raybans to correct your myopia, I suggest calling our office at [phone number]. Would you like to request an appointment?",,,,2761,98,1744
data,gemini-1.5-flash,4,Is he able to adapt my old Rayban to my myopia?,,,"{""appointment_requested"":null,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""general"",""new_or_existing_patient"":null}",,998,72,909
conversation,gemini-1.5-flash,5,"Yes, please","Great! To proceed, are you a new or an existing patient?","New,Existing",,,2819,57,839
data,gemini-1.5-flash,5,"Yes, please",,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":null}",appointment_requested,1067,75,880
conversation,gemini-1.5-flash,6,I suppose I am new,Great!  What is your name?,,,,2566,46,707
data,gemini-1.5-flash,6,I suppose I am new,,,"{""appointment_requested"":true,""name"":null,""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","new_or_existing_patient,appointment_requested",1092,85,1028
conversation,gemini-1.5-flash,7,Mario Postizo,"Great! What is the best number to reach you at?

By submitting your phone number below, you understand we may send text messages to this number containing relevant information.",,,,2662,74,972
data,gemini-1.5-flash,7,Mario Postizo,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":null,""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,appointment_requested,new_or_existing_patient",1109,128,1269
conversation,gemini-1.5-flash,8,5556667777,Great! What is the best email for you?,,,,2723,48,768
data,gemini-1.5-flash,8,5556667777,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":null,""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone",1160,90,1153
conversation,gemini-1.5-flash,9,mario@postizo.com,"Great! Now, when would you like to schedule your appointment?  Our office hours are:

Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: Closed
Sunday: Closed

Please note - this is only a request... not a confirmed appointment. Our patient coordinator will reach out to you as soon as possible to confirm your appointment! 🙂 If you have an emergency, please call 911. Thanks for choosing our practice!",,,,2749,207,1863
data,gemini-1.5-flash,9,mario@postizo.com,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":null,""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}","name,phone,email",1182,99,1553
conversation,gemini-1.5-flash,10,can it be today?,"Unfortunately, today is Tuesday, November 26th, and we are fully booked.  Would you like to schedule your appointment for another day?",,,,3203,68,1038
data,gemini-1.5-flash,10,can it be today?,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""today"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1352,96,962
conversation,gemini-1.5-flash,11,monday at 9 is fine,Great!  Monday at 9 AM is within our office hours.  Is there anything else I can assist you with?,,,,2966,63,838
data,gemini-1.5-flash,11,monday at 9 is fine,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""Monday at 9"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",appointment_date,1394,99,974
conversation,gemini-1.5-flash,12,Remind me please the address,"Our address is 1221 W Ben White Blvd. ( @ Banister ) Suite 212B Austin, TX 78704. Is there anything else I can assist you with?",,,,3026,82,1068
data,gemini-1.5-flash,12,Remind me please the address,,,"{""appointment_requested"":true,""name"":""Mario Postizo"",""phone"":""5556667777"",""email"":""mario@postizo.com"",""appointment_date"":""Monday at 9 AM"",""ai_chat_flow"":""patient"",""new_or_existing_patient"":""New""}",,1430,123,1235
conversation,gemini-1.5-flash,1,What insurances do you accept,"We accept a variety of HMOs, PPOs, and other health plans.  To verify if we accept your specific insurance carrier, would you like to request an appointment?

","Yes,No",,,2348,91,1993
